name,alt,city,town
東廣寮溪,,嘉義縣,竹崎鄉
南清水溪,,花蓮縣,光復鄉大興村
南勢湖溪,南湖溪,屏東縣,獅子鄉
海豐崙溪,,雲林縣,斗六市
破礑溪,,宜蘭縣,大同鄉
荖溪,,花蓮縣,壽豐鄉
郡坑溪,,南投縣,信義鄉
猴洞坑溪,,臺北市,士林區
雲林溪,,雲林縣,"斗南鎮,斗六市,古坑鄉"
嘉武溪,,臺東縣,關山鎮
利嘉溪,呂家溪,臺東縣,"臺東市,卑南鄉"
卓溪,,花蓮縣,"玉里鎮,卓溪鄉"
南澳溪,大南澳溪,宜蘭縣,"南澳鄉,蘇澳鎮"
安朔溪,,臺東縣,"大武鄉,達仁鄉"
富林溪,,桃園市,觀音區
小坑溪,,新北市,石門區
康誥坑溪,,新北市,汐止區
新屋溪,,桃園市,"新屋區,觀音區"
新武呂溪,,臺東縣,"海端鄉,池上鄉,關山鎮"
楓林溪,,新北市,石門區
美濃溪,,高雄市,"旗山區,美濃區,杉林區"
社子溪,,桃園市,"新屋區,楊梅區"
眉溪,,南投縣,"埔里鎮,仁愛鄉"
油羅溪,,新竹縣,"芎林鄉,橫山鄉,尖石鄉"
老梅溪,,新北市,"石門區,三芝區"
苑裡溪,,苗栗縣,"通霄鎮,苑裡鎮"
牡丹溪,,屏東縣,牡丹鄉
金崙溪,,臺東縣,"太麻里鄉,金峰鄉"
率芒溪,,屏東縣,"枋山鄉,枋寮鄉,春日鄉,獅子鄉"
四分溪,,臺北市,南港區
大漢溪,大嵙崁溪,桃園市,"龍潭區,大溪區,龜山區,復興區"
大漢溪,大嵙崁溪,新北市,"三峽區,鶯歌區,樹林區,板橋區,土城區"
大漢溪,大嵙崁溪,新竹縣,尖石鄉
隘寮北溪,,屏東縣,"三地門鄉,霧臺鄉"
安通溪,,花蓮縣,玉里鎮
北坑溪,,苗栗縣,泰安鄉
赤蘭溪,,嘉義縣,"番路鄉,水上鄉"
打狗溪,,宜蘭縣,冬山鄉
大梅溪,,屏東縣,"車城鄉,牡丹鄉"
六重溪,,臺南市,白河區
鹿鳴溪,,臺東縣,延平鄉
崙子溪,,雲林縣,"斗南鎮,古坑鄉"
卡社溪,,南投縣,"信義鄉,仁愛鄉"
景山溪,,苗栗縣,三義鄉
保長坑溪,,新北市,汐止區
水長流溪,,南投縣,國姓鄉
光復溪,,花蓮縣,光復鄉
竹社溪,,屏東縣,牡丹鄉
